B,candidate_idx,sample_idx,d,rank
100,22,19,1.0930732483152268,11
100,23,19,39.506941744335805,29
100,24,19,1.9831757051551429,14
100,25,19,10.882749873693427,23
100,26,19,0.29175994134381955,5
100,27,19,0.11232971352370923,4
100,28,19,0.10998543890008519,3
100,29,19,0.5032913584418672,9
100,0,20,2.3565852177299114,14
100,1,20,3.707003268479756,17
100,2,20,0.38512187443567764,6
100,3,20,11.313422750256688,24
100,4,20,2.0328144622479645,13
100,5,20,18.34939985421135,26
100,6,20,5.829315603342225,20
100,7,20,0.1204044211479921,3
100,8,20,3.278149187625154,16
100,9,20,3.8494552590755404,18
100,10,20,0.6013491815701644,8
100,11,20,1.1620633234083109,12
100,12,20,5.257111142291434,19
100,13,20,11.369044140553086,25
100,14,20,0.7108311182251668,10
100,15,20,24.98753022928423,28
100,16,20,0.10366535472308483,0
100,17,20,7.519331974339945,21
100,18,20,21.564478877791025,27
100,19,20,0.11389283371543867,2
100,20,20,0.4925562867829474,7
100,21,20,8.274141763125144,22
100,22,20,1.158501864764466,11
100,23,20,25.062261196251747,29
100,24,20,2.3927919450235238,15
100,25,20,10.068513483999546,23
100,26,20,0.2985254978845667,5
100,27,20,0.13260543000347574,4
100,28,20,0.10893239315994059,1
100,29,20,0.7002874655363847,9
100,0,21,1.8190319859045454,14
100,1,21,2.6366591007507925,16
100,2,21,0.3652273776443547,6
100,3,21,12.212769017649993,25
100,4,21,1.7211200997357947,13
100,5,21,19.409750544165203,27
100,6,21,6.226222589487621,20
100,7,21,0.10879784567427496,4
100,8,21,2.981317256289505,17
100,9,21,4.011764126167452,18
100,10,21,0.39266753191655224,7
100,11,21,1.0244845125356277,12
100,12,21,5.4698474269886415,19
100,13,21,10.491086033584615,23
100,14,21,0.6635917017052593,10
100,15,21,22.738918992900707,28
100,16,21,0.10051963360549065,1
100,17,21,10.953094162241044,24
100,18,21,18.96571568621378,26
100,19,21,0.08988372918637486,0
100,20,21,0.5100813567361983,8
100,21,21,6.548949366813304,21
100,22,21,0.9783288297069596,11
100,23,21,27.671320236703174,29
100,24,21,2.1467799524569897,15
100,25,21,9.36005414619867,22
100,26,21,0.3439810654270864,5
100,27,21,0.10556614702708808,3
100,28,21,0.1017284776664714,2
100,29,21,0.5514447221860224,9
100,0,22,2.3590472971127667,15
100,1,22,3.779527537275669,18
100,2,22,0.34099129243324233,6
100,3,22,9.913297236219888,22
100,4,22,1.8562212264774989,13
100,5,22,18.25155331866301,26
100,6,22,6.48238490742054,20
100,7,22,0.11465110652726532,4
100,8,22,2.491055706800986,16
100,9,22,3.4567370730927736,17
100,10,22,0.43731522450296956,7
100,11,22,1.2351601346778325,11
100,12,22,4.9191121138925045,19
100,13,22,10.66990415011299,25
100,14,22,0.6740629173010686,10
100,15,22,22.155916794498594,28
100,16,22,0.10266709457365604,2
100,17,22,10.405364483919943,24
100,18,22,20.31959871014284,27
100,19,22,0.10213043232114914,1
100,20,22,0.4994253496302694,8
100,21,22,6.730584940894259,21
100,22,22,1.2952237820306647,12
100,23,22,30.605951931532275,29
100,24,22,2.250798198216862,14
100,25,22,10.040167422653855,23
100,26,22,0.32129303737989323,5
100,27,22,0.09221777813252273,0
100,28,22,0.10429917494538393,3
100,29,22,0.5873586846187817,9
100,0,23,1.6391393119322422,14
100,1,23,3.137297588986586,17
100,2,23,0.49976489881984315,9
100,3,23,10.412572397793367,25
100,4,23,1.3674572739411768,13
100,5,23,19.408531595561186,27
100,6,23,6.062329785403676,21
100,7,23,0.10774950350619007,2
100,8,23,3.134285657984206,16
100,9,23,3.694453889856007,18
100,10,23,0.4838012227181617,8
100,11,23,0.9749560951703717,12
