Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e13_obd
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7152e+00
Starting OBD sparsification loop
step  260 | acc=0.9170 | NZ=  1900 | sparsity=0.1204 | d_m=1.1321e+00
step  261 | acc=0.9170 | NZ=  1899 | sparsity=0.1208 | d_m=1.1926e+00
step  262 | acc=0.9170 | NZ=  1898 | sparsity=0.1213 | d_m=1.2827e+00
step  263 | acc=0.9170 | NZ=  1897 | sparsity=0.1218 | d_m=1.3434e+00
step  264 | acc=0.9170 | NZ=  1896 | sparsity=0.1222 | d_m=1.3145e+00
step  265 | acc=0.9170 | NZ=  1895 | sparsity=0.1227 | d_m=1.4027e+00
step  266 | acc=0.9170 | NZ=  1894 | sparsity=0.1231 | d_m=1.4855e+00
step  267 | acc=0.9170 | NZ=  1893 | sparsity=0.1236 | d_m=1.5864e+00
step  268 | acc=0.9170 | NZ=  1892 | sparsity=0.1241 | d_m=1.7032e+00
step  269 | acc=0.9170 | NZ=  1891 | sparsity=0.1245 | d_m=1.7738e+00
step  270 | acc=0.9170 | NZ=  1890 | sparsity=0.1250 | d_m=1.8272e+00
step  271 | acc=0.9170 | NZ=  1889 | sparsity=0.1255 | d_m=1.9202e+00
step  272 | acc=0.9170 | NZ=  1888 | sparsity=0.1259 | d_m=2.1523e+00
step  273 | acc=0.9170 | NZ=  1887 | sparsity=0.1264 | d_m=2.2805e+00
step  274 | acc=0.9170 | NZ=  1886 | sparsity=0.1269 | d_m=2.5003e+00
step  275 | acc=0.9170 | NZ=  1885 | sparsity=0.1273 | d_m=2.8239e+00
step  276 | acc=0.9180 | NZ=  1884 | sparsity=0.1278 | d_m=3.1457e+00
step  277 | acc=0.9170 | NZ=  1883 | sparsity=0.1282 | d_m=3.2651e+00
step  278 | acc=0.9170 | NZ=  1882 | sparsity=0.1287 | d_m=3.4643e+00
step  279 | acc=0.9170 | NZ=  1881 | sparsity=0.1292 | d_m=3.4022e+00
step  280 | acc=0.9170 | NZ=  1880 | sparsity=0.1296 | d_m=3.5407e+00
step  281 | acc=0.9170 | NZ=  1879 | sparsity=0.1301 | d_m=3.6565e+00
step  282 | acc=0.9170 | NZ=  1878 | sparsity=0.1306 | d_m=3.5807e+00
step  283 | acc=0.9170 | NZ=  1877 | sparsity=0.1310 | d_m=3.4769e+00
step  284 | acc=0.9170 | NZ=  1876 | sparsity=0.1315 | d_m=3.6271e+00
step  285 | acc=0.9170 | NZ=  1875 | sparsity=0.1319 | d_m=3.8263e+00
step  286 | acc=0.9170 | NZ=  1874 | sparsity=0.1324 | d_m=4.0091e+00
step  287 | acc=0.9170 | NZ=  1873 | sparsity=0.1329 | d_m=4.1147e+00
step  288 | acc=0.9170 | NZ=  1872 | sparsity=0.1333 | d_m=4.4027e+00
